Image burst: T+11.4s → T+151.5s  (30574 writes, 567KB approx)
T+     4.9s [W←cam] f4c0
T+     4.9s [W→cam] f81300021101048ab31303dd180101010501c9f67400
T+     5.0s [W←cam] 81c60008860105d801019002ca00
T+     5.0s [W→cam] 81c700068714010c9e00
T+     5.0s [W←cam] f500
T+     5.0s [W→cam] f814000211010488b31303db180101010101034e5f00
T+     5.0s [W←cam] 8200
T+     5.0s [W←cam] <REDACTED_ID>
T+     5.1s [W→cam] <REDACTED_ID>
T+     5.1s [W←cam] <REDACTED_ID>
T+     5.1s [W←cam] f540
T+     5.1s [W→cam] 8240
T+     5.1s [W→cam] f81500021101048db31303e01801010101010102f400
T+     5.1s [W←cam] <REDACTED_ID>
T+     5.1s [W→cam] <REDACTED_ID>
T+     5.1s [W←cam] f580
T+     5.1s [W→cam] f81600021101048cb31303df18010101010103be6300
T+     5.2s [W←cam] 8280
T+     5.2s [W→cam] 828a000789050205ff7400
T+     5.2s [W←cam] f5c0
T+     5.2s [W→cam] f81700021101048bb31303de180101010101038a6400
T+     5.2s [W←cam] f5e000075f012b94e818010101034b0101034b0101ff12c8022ac5020a576874
T+     5.2s [W←cam] 82ca0006890501058800
T+     5.2s [W←cam] f5e1696e2d556e69742d4944120a333530323830363538332a0d0a0641636365
T+     5.2s [W→cam] 82cb00068a05010d8300
T+     5.2s [W→cam] f880
T+     5.3s [W←cam] f600
T+     5.3s [W←cam] 830b00078a05020d018100
T+     5.3s [W→cam] f89800021101048eb31303e118010101010103c53c00
T+     5.3s [W→cam] 830c00068b12010c9400
T+     5.3s [W←cam] f640
T+     5.3s [W←cam] 8340
T+     5.4s [W→cam] f899000211010490b31303e3180101010101036ccd00
T+     5.4s [W←cam] 834c00078b1302010c9700
T+     5.4s [W→cam] 834d00028c020e03a4040309a001060151435253029900
T+     5.4s [W←cam] f680
T+     5.4s [W←cam] 838d00098c011a6f168409a00106015143525307a5099f08020103800203b990
T+     5.4s [W→cam] f89a00020c010493ac1301010103fe9900
T+     5.4s [W→cam] 838e00028d040580ca02d8021a00
T+     5.5s [W←cam] f6e200020804249501031a0400
T+     5.5s [W←cam] 83ce00088d0105d801019002c100
T+     5.5s [W→cam] f8db000211010492b31303e518010101010103152000
T+     5.5s [W→cam] 83cf00068e14010c9700
T+     5.6s [W←cam] f700
T+     5.6s [W←cam] 8400
T+     5.6s [W→cam] f8dc000211010494b31303e818010101010103dcb100
T+     5.6s [W←cam] 840f0006020801010a00
T+     5.6s [W←cam] 841000078e150201019900
T+     5.6s [W→cam] 845000030208020a00
T+     5.6s [W←cam] f740
T+     5.6s [W→cam] f8dd00020c010495ac1301020103990900
T+     5.6s [W←cam] 8440
T+     5.7s [W←cam] f780
T+     5.7s [W→cam] f8de00021c052c8ade1801010102080101020801010b720612040a0208019818
T+     5.7s [W←cam] f7e300021101048ab41303de180101010101036dd300
T+     5.7s [W→cam] f91f000223052c8bdf18010101020f0101020f01010782010c2a0a0804120208
T+     5.8s [W←cam] f82400021101048bb41303df1801010101010351dc00
T+     5.8s [W→cam] f960000241042b8c0301010101022d0101022d01010bda022a4a28221209a5a5
T+     5.9s [W←cam] f86500021101048cb3130203010101010101032b6b00
T+     5.9s [W←cam] f86600068e0f2c96030101010103a00f01037a0f0109da029c1f52991f080910
T+     5.9s [W←cam] f86718ed8b02200d28e49c01300222310a12090b010108608ea04111e00d0101
T+     5.9s [W←cam] f868085c8ea041112a0601010101050112040807180418aa0c200d28de9c0130
T+     5.9s [W←cam] f869320a12091a010108b81a614411f90301010101050112110814120b464954
T+     5.9s [W←cam] f86a08ac1a614411421501010101050112040807180618c22a200d28c9a00130
T+     5.9s [W←cam] f86b250a120925010108aa1a614411421501010101050112040807180618c22a
T+     5.9s [W→cam] f9a1000219042b8e0401010101020501010205010105aa01020a03f03f00
T+     5.9s [W←cam] f86c28bea001300222250a12092b010108aa1a61441142150101010105011204
T+     5.9s [W←cam] f86d180618c22a200d28b8a001300222250a120931010108aa1a614411421501
T+     5.9s [W←cam] f86e01050112040807180618c22a200d28b2a001300222250a120937010108aa
T+     5.9s [W→cam] fb00
T+     6.0s [W→cam] fbc0
T+     6.0s [W←cam] f86f4411421501010101050112040807180618c22a200d28aca001300222250a
T+     6.0s [W←cam] f87042010108aa1a614411421501010101050112040807180618c22a200d28a6
T+     6.0s [W←cam] f871300222250a120948010108aa1a6144114215010101010501120408071806
T+     6.0s [W←cam] f8722a200d289ba001300222250a12094e010108aa1a61441142150101010105
T+     6.0s [W←cam] f873040807180618c22a200d2895a001300222250a120954010108a81a614411
T+     6.0s [W→cam] fd00
T+     6.0s [W←cam] f87401010101050112040807180618c22a200d288fa001300222250a12095a01
T+     6.0s [W←cam] f875a81a614411421501010101050112040807180618c22a200d2889a0013002
T+     6.0s [W←cam] f8760a120965010108a81a614411421501010101050112040807180618c22a20
T+     6.0s [W←cam] f877fe9f01300222250a12096b010108a81a6144114215010101010501120408
T+     6.0s [W→cam] fd40
T+     6.0s [W→cam] fe00
T+     6.0s [W←cam] f8b800021101048eb313020401010101010103934a00
T+     6.0s [W→cam] fe6200021101048fb31303e21801010101010378ea00
T+     6.1s [W←cam] f8c0
T+     6.1s [W→cam] fe63000211010491b31303e418010101010103d0e800
T+     6.1s [W←cam] f900
T+     6.1s [W→cam] fe64000211010496b413020301010101010103e8f800
T+     6.2s [W←cam] f97900023a042c9703037a0f0103a00f010226010106250a12096e010108a81a
T+     6.2s [W→cam] fea500021b042b8f0501010101020701010207010107aa010412021803c36600
T+     6.2s [W←cam] f9ba00021101048fb313020501010101010103af4500
T+     6.2s [W→cam] fee6000211010497b4130203037a0f010101034aa000
T+     6.3s [W←cam] f9c0
T+     6.3s [W→cam] fee7000773062c90e518010101035f0601035f0601ff12dc0c32d90c086410c8
T+     6.3s [W→cam] fee8227d2c7b22636f6465223a22436c6970626f61726453796e63227d2c7b22
T+     6.3s [W→cam] fee9223a224c697665547261636b227d2c7b22636f6465223a224c6976655472
T+     6.3s [W→cam] feea6d65227d2c7b22636f6465223a22536f6369616c496d70726f76656d656e
T+     6.3s [W→cam] feeb2d63616368652d737461747573120744594e414d49432a1e0a0643462d52
T+     6.3s [W→cam] feec785f616765223a3630343830307d2a83020a095265706f72742d546f12f5
T+     6.3s [W→cam] feed32253242314f653251444e3571696a4f4c47344c56795076493552766625
T+     6.3s [W→cam] feee2d53656c65637465642d50726f746f636f6c1208687474702f312e312a26
T+     6.3s [W←cam] fb00
T+     6.3s [W←cam] fb80
T+     6.3s [W←cam] fbfb000211010490b41303e518010101010103f69300
T+     6.3s [W→cam] ff2f0007bc052c92e81801010103a8050103a80501ff12a50b32a20b086410c8
T+     6.3s [W→cam] ff30122e6e6f2d63616368652c206e6f2d73746f72652c206d61782d6167653d
T+     6.3s [W→cam] ff31656c123f7b227265706f72745f746f223a2263662d6e656c222c22737563
T+     6.3s [W→cam] ff325554674c366841484171593925324668552532424239787679702532426e
T+     6.3s [W→cam] ff3330303137322e363433323634382d312e302e312e312d486435333571564d
T+     6.3s [W→cam] ff346e6b65642a170a0456617279120f4163636570742d456e636f64696e672a
T+     6.3s [W→cam] ff35736e6966662a170a0f782d6672616d652d6f7074696f6e73120444454e59
T+     6.4s [W←cam] fd00
T+     6.4s [W←cam] fdbc000211010492b41303e818010101010103cecd00
T+     6.4s [W→cam] ff7600021a052c93e21801010102060101020601010952046a0208016a7500
T+     6.5s [W←cam] fdfd000211010493b41303e218010101010103b37100
T+     6.5s [W→cam] ffb700021b042b94060101010102070101020701010ada02044a020801b57f00
T+     6.5s [W←cam] fe3e000211010494b313020601010101010103cb7400
T+     6.5s [W←cam] fe3f000657052c980601010101034305010343050109da02bf0a52bc0a080b18
T+     6.5s [W←cam] fe00180518c22a200d28f59f01300222250a120974010108a61a614411421501
T+     6.5s [W←cam] fe0101050112040802180518c22a200d28ef9f01300222250a12097a010108a6
T+     6.5s [W→cam] f03800022f04318d0301010206020206302e3003020104030201040302020404
T+     6.5s [W←cam] fe024411421501010101050112040802180518c22a200d28e99f01300222250a
T+     6.5s [W←cam] fe0385010108a61a614411421501010101050112040802180518c22a200d28e3
T+     6.5s [W←cam] fe04300222250a12099b010108a61a6144114215010101010501120408021805
T+     6.5s [W→cam] f100
T+     6.5s [W←cam] fe05d39c01300202c000
T+     6.5s [W←cam] fe4600020901048db913036eb900
T+     6.6s [W→cam] f180
T+     6.6s [W→cam] f1f9000211010498b413020601010101010103c11000
T+     6.6s [W←cam] fe80
T+     6.7s [W→cam] f1fa00020f05219102010103881e010103d21000
T+     6.7s [W←cam] fec700020a010491a9130103adfb00
T+     6.7s [W→cam] f23b00020f05219502010103891e010103ae0500
T+     6.7s [W←cam] ff0800020a010495a91301035c3b00
T+     6.7s [W→cam] f27c00020f05219602010103881e01010363ca00
T+     6.8s [W←cam] ff4900020a010496a9130103183b00
T+     6.8s [W→cam] f2bd00020f032197021904018b1e010406ee1600
T+     6.8s [W←cam] ff8a00020a010497a913010325fb00
T+     6.9s [W→cam] f2fe00020f032198021104018d1e010402564300
T+     6.9s [W←cam] ff8b00021b032299038b1e01010405012b03022b030353038081010404065a00
T+     6.9s [W→cam] f300
T+     6.9s [W←cam] ffcc00020a010498a913010371fa00
T+     6.9s [W→cam] f37f00020b010499aa13010103726500
T+     7.0s [W←cam] f000
T+     7.0s [W→cam] f34000020f05219902010103881e01010353fa00
T+     7.1s [W←cam] f04d00020a010499a91301034c3a00
T+     7.1s [W→cam] f38100020f05219a02010103891e0101039e3500
T+     7.1s [W←cam] f08e00020a01049aa9130103083a00
T+     7.1s [W→cam] f3c200020f03219b021a04018e1e010402a3ff00
T+     7.2s [W←cam] f0cf00020a01049ba913010335fa00
T+     7.2s [W→cam] f40300020f05219c02010103881e01010343ea00
T+     7.2s [W←cam] f11000020a01049ca9130103803a00
